OCCUR_DATE,Incidents1,Incidents2,NonMurders1,Murders1,Incidents2,Victims2,Mass2,Victims3,Mass3,
1/1/2006,129,112,100,29,112,129,1,126,0,
2/1/2006,97,81,70,27,81,97,2,93,1,
3/1/2006,102,79,88,14,79,102,2,98,0,
4/1/2006,156,113,119,37,113,156,6,145,3,
5/1/2006,173,134,133,40,134,173,3,164,1,
6/1/2006,180,146,144,36,146,180,4,170,0,
7/1/2006,233,169,186,47,169,233,8,214,2,
8/1/2006,245,177,199,46,177,245,7,224,2,
9/1/2006,196,152,152,44,152,196,5,187,3,
10/1/2006,199,150,161,38,150,199,4,186,2,
11/1/2006,167,121,127,40,121,167,8,150,2,
12/1/2006,178,132,131,47,132,178,7,170,5,
1/1/2007,109,90,95,14,90,109,1,108,1,
2/1/2007,78,62,65,13,62,78,1,76,0,
3/1/2007,103,72,85,18,72,103,4,98,2,
4/1/2007,117,99,88,29,99,117,2,113,0,
5/1/2007,199,162,155,44,162,199,3,193,2,
6/1/2007,201,158,160,41,158,201,5,195,3,
7/1/2007,239,164,192,47,164,239,7,220,4,
8/1/2007,212,161,184,28,161,212,5,203,2,
9/1/2007,173,132,144,29,132,173,5,167,3,
10/1/2007,197,148,155,42,148,197,8,181,3,
11/1/2007,135,99,105,30,99,135,3,126,2,
12/1/2007,124,95,86,38,95,124,5,112,0,
1/1/2008,114,99,91,23,99,114,0,113,0,
2/1/2008,80,64,61,19,64,80,2,74,0,
3/1/2008,128,100,91,37,100,128,5,122,2,
4/1/2008,153,121,127,26,121,153,4,144,2,
5/1/2008,194,151,164,30,151,194,6,186,4,
6/1/2008,197,151,162,35,151,197,3,194,2,
7/1/2008,234,172,200,34,172,234,8,222,3,
8/1/2008,215,167,182,33,167,215,4,206,2,
9/1/2008,197,151,155,42,151,197,6,191,4,
10/1/2008,153,117,123,30,117,153,4,149,4,
11/1/2008,130,101,107,23,101,130,2,125,1,
12/1/2008,164,126,134,30,126,164,3,157,1,
1/1/2009,105,79,87,18,79,105,4,98,2,
2/1/2009,113,75,86,27,75,113,7,101,2,
3/1/2009,104,86,85,19,86,104,3,97,0,
4/1/2009,136,115,111,25,115,136,3,132,1,
5/1/2009,172,129,153,19,129,172,4,168,3,
6/1/2009,182,149,151,31,149,182,4,177,2,
7/1/2009,211,173,176,35,173,211,3,202,1,
8/1/2009,210,170,175,35,170,210,4,206,3,
9/1/2009,167,116,130,37,116,167,7,148,3,
10/1/2009,143,109,110,33,109,143,3,130,2,
11/1/2009,161,122,125,36,122,161,6,147,1,
12/1/2009,124,97,91,33,97,124,5,112,0,
1/1/2010,97,86,79,18,86,97,1,95,0,
2/1/2010,123,83,98,25,83,123,5,112,2,
3/1/2010,132,106,110,22,106,132,3,123,1,
4/1/2010,167,120,138,29,120,167,7,155,4,
5/1/2010,166,121,126,40,121,166,5,153,2,
6/1/2010,219,158,169,50,158,219,9,202,2,
7/1/2010,211,168,150,61,168,211,7,193,0,
8/1/2010,203,163,170,33,163,203,3,196,0,
9/1/2010,182,143,146,36,143,182,2,179,1,
10/1/2010,144,109,111,33,109,144,5,135,2,
11/1/2010,140,108,107,33,108,140,3,129,1,
12/1/2010,128,108,103,25,108,128,3,121,0,
1/1/2011,102,83,86,16,83,102,1,100,1,
2/1/2011,98,77,81,17,77,98,3,94,1,
3/1/2011,89,77,68,21,77,89,2,84,0,
4/1/2011,136,109,106,30,109,136,3,129,1,
5/1/2011,176,131,141,35,131,176,7,166,2,
6/1/2011,178,126,141,37,126,178,7,161,4,
7/1/2011,221,174,184,37,174,221,7,203,1,
8/1/2011,217,179,181,36,179,217,5,208,2,
9/1/2011,250,168,201,49,168,250,13,231,7,
10/1/2011,188,155,156,32,155,188,4,178,1,
11/1/2011,133,111,111,22,111,133,2,128,0,
12/1/2011,151,119,110,41,119,151,6,139,3,
1/1/2012,114,91,100,14,91,114,3,111,2,
2/1/2012,101,83,85,16,83,101,2,94,0,
3/1/2012,130,104,106,24,104,130,4,124,1,
4/1/2012,127,98,97,30,98,127,5,121,2,
5/1/2012,173,140,147,26,140,173,5,165,1,
6/1/2012,183,147,154,29,147,183,6,172,1,
7/1/2012,247,188,205,42,188,247,6,234,3,
8/1/2012,191,135,153,38,135,191,7,173,4,
9/1/2012,140,125,118,22,125,140,2,137,1,
10/1/2012,113,90,98,15,90,113,3,107,0,
11/1/2012,98,87,87,11,87,98,0,97,0,
12/1/2012,100,85,79,21,85,100,2,96,2,
1/1/2013,119,93,100,19,93,119,2,114,0,
2/1/2013,66,50,50,16,50,66,2,61,0,
3/1/2013,85,67,68,17,67,85,2,82,1,
4/1/2013,94,79,75,19,79,94,2,94,2,
5/1/2013,99,78,77,22,78,99,3,91,1,
6/1/2013,139,119,122,17,119,139,3,138,3,
7/1/2013,141,112,122,19,112,141,5,135,2,
8/1/2013,162,136,139,23,136,162,3,157,1,
9/1/2013,120,107,107,13,107,120,1,117,0,
10/1/2013,125,101,98,27,101,125,2,120,0,
11/1/2013,98,82,79,19,82,98,2,95,1,
12/1/2013,91,79,79,12,79,91,1,89,0,
1/1/2014,107,77,79,28,77,107,3,92,3,
2/1/2014,52,45,48,4,45,52,1,52,1,
3/1/2014,109,82,84,25,82,109,5,101,1,
4/1/2014,98,87,83,15,87,98,0,98,0,
5/1/2014,129,112,115,14,112,129,1,126,0,
6/1/2014,153,121,127,26,121,153,5,141,0,
7/1/2014,161,134,139,22,134,161,2,157,2,
8/1/2014,169,135,143,26,135,169,3,165,1,
9/1/2014,109,96,89,20,96,109,1,106,0,
10/1/2014,130,93,109,21,93,130,4,117,2,
11/1/2014,107,89,89,18,89,107,1,106,1,
12/1/2014,140,101,110,30,101,140,6,129,3,
1/1/2015,117,90,90,27,90,117,5,110,2,
2/1/2015,68,59,55,13,59,68,1,65,0,
3/1/2015,93,69,71,22,69,93,2,90,1,
4/1/2015,106,87,89,17,87,106,2,101,0,
5/1/2015,181,132,144,37,132,181,7,169,2,
6/1/2015,135,108,118,17,108,135,3,128,0,
7/1/2015,132,117,111,21,117,132,0,131,0,
8/1/2015,162,122,131,31,122,162,6,149,1,
9/1/2015,115,98,90,25,98,115,3,113,2,
10/1/2015,103,81,74,29,81,103,4,93,0,
11/1/2015,104,80,83,21,80,104,3,99,3,
12/1/2015,118,95,95,23,95,118,3,111,2,
1/1/2016,79,59,60,19,59,79,3,72,0,
2/1/2016,74,61,66,8,61,74,0,71,0,
3/1/2016,79,67,67,12,67,79,1,77,0,
4/1/2016,72,67,57,15,67,72,0,72,0,
5/1/2016,108,86,88,20,86,108,3,101,0,
6/1/2016,116,94,90,26,94,116,4,112,2,
7/1/2016,112,97,94,18,97,112,0,112,0,
8/1/2016,184,145,151,33,145,184,5,178,2,
9/1/2016,128,108,100,28,108,128,3,121,0,
10/1/2016,105,84,92,13,84,105,1,102,0,
11/1/2016,77,65,62,15,65,77,1,75,0,
12/1/2016,74,64,58,16,64,74,1,70,0,
1/1/2017,68,58,61,7,58,68,2,64,0,
2/1/2017,48,40,38,10,40,48,1,44,0,
3/1/2017,56,48,47,9,48,56,0,55,0,
4/1/2017,81,68,68,13,68,81,2,77,0,
5/1/2017,88,67,68,20,67,88,3,84,1,
6/1/2017,113,79,94,19,79,113,4,104,3,
7/1/2017,104,79,82,22,79,104,3,95,0,
8/1/2017,96,83,88,8,83,96,1,96,1,
9/1/2017,90,79,79,11,79,90,1,88,0,
10/1/2017,89,73,73,16,73,89,3,84,1,
11/1/2017,61,48,43,18,48,61,2,57,0,
12/1/2017,76,67,55,21,67,76,0,73,0,
1/1/2018,88,59,64,24,59,88,2,75,2,
2/1/2018,41,36,32,9,36,41,0,41,0,
3/1/2018,56,46,43,13,46,56,1,54,0,
4/1/2018,68,49,51,17,49,68,3,63,1,
5/1/2018,98,77,73,25,77,98,2,90,0,
6/1/2018,90,70,69,21,70,90,2,85,0,
7/1/2018,114,89,94,20,89,114,2,110,0,
8/1/2018,92,76,78,14,76,92,2,86,0,
9/1/2018,82,71,63,19,71,82,2,76,0,
10/1/2018,83,68,70,13,68,83,2,81,1,
11/1/2018,71,55,58,13,55,71,1,67,1,
12/1/2018,75,58,59,16,58,75,1,73,1,
1/1/2019,63,52,49,14,52,63,1,59,0,
2/1/2019,59,42,42,17,42,59,3,52,0,
3/1/2019,65,56,55,10,56,65,0,65,0,
4/1/2019,67,62,57,10,62,67,0,66,0,
5/1/2019,81,61,69,12,61,81,4,75,2,
6/1/2019,107,89,92,15,89,107,1,105,0,
7/1/2019,120,88,99,21,88,120,3,112,3,
8/1/2019,105,91,82,23,91,105,1,104,1,
9/1/2019,86,67,66,20,67,86,3,79,0,
10/1/2019,80,62,59,21,62,80,1,74,1,
11/1/2019,71,51,58,13,51,71,4,64,1,
12/1/2019,63,56,55,8,56,63,0,63,0,
1/1/2020,94,66,72,22,66,94,3,84,2,
2/1/2020,51,45,37,14,45,51,0,51,0,
3/1/2020,71,56,64,7,56,71,2,71,2,
4/1/2020,69,56,51,18,56,69,1,66,0,
5/1/2020,137,100,105,32,100,137,5,119,2,
6/1/2020,265,205,229,36,205,265,6,253,2,
7/1/2020,325,243,264,61,243,325,10,299,3,
8/1/2020,311,241,258,53,241,311,9,295,4,
9/1/2020,189,150,137,52,150,189,5,177,1,
10/1/2020,165,135,135,30,135,165,3,156,0,
11/1/2020,139,115,118,21,115,139,4,133,3,
12/1/2020,132,119,112,20,119,132,0,129,0,
1/1/2021,95,76,71,24,76,95,3,86,1,
2/1/2021,89,77,73,16,77,89,1,87,0,
3/1/2021,130,99,98,32,99,130,5,123,4,
4/1/2021,181,148,142,39,148,181,6,168,0,
5/1/2021,227,172,182,45,172,227,8,211,3,
6/1/2021,199,165,162,37,165,199,5,190,3,
7/1/2021,204,157,173,31,157,204,6,200,4,
8/1/2021,228,165,175,53,165,228,10,203,3,
9/1/2021,192,135,143,49,135,192,11,169,6,
10/1/2021,159,128,124,35,128,159,4,151,1,
11/1/2021,151,119,131,20,119,151,3,145,2,
12/1/2021,156,121,109,47,121,156,6,138,0,
1/1/2022,116,99,92,24,99,116,1,113,0,
2/1/2022,102,75,73,29,75,102,5,92,2,
3/1/2022,156,115,131,25,115,156,3,152,2,
4/1/2022,155,105,129,26,105,155,8,141,3,
5/1/2022,170,117,125,45,117,170,8,160,3,
6/1/2022,172,125,144,28,125,172,4,164,3,
7/1/2022,229,175,192,37,175,229,5,218,4,
8/1/2022,154,115,125,29,115,154,6,140,2,
9/1/2022,156,117,130,26,117,156,7,148,4,
10/1/2022,103,86,78,25,86,103,3,96,0,
11/1/2022,101,80,77,24,80,101,3,96,3,
12/1/2022,102,85,82,20,85,102,2,99,1,
